"ï»¿review id","review title","reviews content",cleaned_review,positive_count,negative_count,sentiment,review_length
2,"One of the best game music soundtracks - for a game I didn't really play","Despite the fact that I have only played a small portion of the game, the music I heard (plus the connection to Chrono Trigger which was great as well) led me to purchase the soundtrack, and it remains one of my favorite albums. There is an incredible mix of fun, epic, and emotional songs. Those sad and beautiful tracks I especially like, as there's not too many of those kinds of songs in my other video game soundtracks. I must admit that one of the songs (Life-A Distant Promise) has brought tears to my eyes on many occasions.My one complaint about this soundtrack is that they use guitar fretting effects in many of the songs, which I find distracting. But even if those weren't included I would still consider the collection worth it.","despite the fact that i have only played a small portion of the game the music i heard plus the connection to chrono trigger which was great as well led me to purchase the soundtrack and it remains one of my favorite albums there is an incredible mix of fun epic and emotional songs those sad and beautiful tracks i especially like as theres not too many of those kinds of songs in my other video game soundtracks i must admit that one of the songs lifea distant promise has brought tears to my eyes on many occasionsmy one complaint about this soundtrack is that they use guitar fretting effects in many of the songs which i find distracting but even if those werent included i would still consider the collection worth it",4,0,Positive,742
1,"Batteries died within a year ...","I bought this charger in Jul 2003 and it worked OK for a while. The design is nice and convenient. However, after about a year, the batteries would not hold a charge. Might as well just get alkaline disposables, or look elsewhere for a charger that comes with batteries that have better staying power.","i bought this charger in jul  and it worked ok for a while the design is nice and convenient however after about a year the batteries would not hold a charge might as well just get alkaline disposables or look elsewhere for a charger that comes with batteries that have better staying power",1,0,Positive,301
2,"works fine, but Maha Energy is better","Check out Maha Energy's website. Their Powerex MH-C204F charger works in 100 minutes for rapid charge, with option for slower charge (better for batteries). And they have 2200 mAh batteries.","check out maha energys website their powerex mhcf charger works in  minutes for rapid charge with option for slower charge better for batteries and they have  mah batteries",0,1,Negative,190
2,"Great for the non-audiophile","Reviewed quite a bit of the combo players and was hesitant due to unfavorable reviews and size of machines. I am weaning off my VHS collection, but don't want to replace them with DVD's. This unit is well built, easy to setup and resolution and special effects (no progressive scan for HDTV owners) suitable for many people looking for a versatile product.Cons- No universal remote.","reviewed quite a bit of the combo players and was hesitant due to unfavorable reviews and size of machines i am weaning off my vhs collection but dont want to replace them with dvds this unit is well built easy to setup and resolution and special effects no progressive scan for hdtv owners suitable for many people looking for a versatile productcons no universal remote",1,0,Positive,382
1,"DVD Player crapped out after one year","I also began having the incorrect disc problems that I've read about on here. The VCR still works, but hte DVD side is useless. I understand that DVD players sometimes just quit on you, but after not even one year? To me that's a sign on bad quality. I'm giving up JVC after this as well. I'm sticking to Sony or giving another brand a shot.","i also began having the incorrect disc problems that ive read about on here the vcr still works but hte dvd side is useless i understand that dvd players sometimes just quit on you but after not even one year to me thats a sign on bad quality im giving up jvc after this as well im sticking to sony or giving another brand a shot",1,3,Negative,341
1,"Incorrect Disc","I love the style of this, but after a couple years, the DVD is giving me problems. It doesn't even work anymore and I use my broken PS2 Now. I wouldn't recommend this, I'm just going to upgrade to a recorder now. I wish it would work but I guess i'm giving up on JVC. I really did like this one... before it stopped working. The dvd player gave me problems probably after a year of having it.","i love the style of this but after a couple years the dvd is giving me problems it doesnt even work anymore and i use my broken ps now i wouldnt recommend this im just going to upgrade to a recorder now i wish it would work but i guess im giving up on jvc i really did like this one before it stopped working the dvd player gave me problems probably after a year of having it",2,2,Neutral,392
1,"DVD menu select problems","I cannot scroll through a DVD menu that is set up vertically. The triangle keys will only select horizontally. So I cannot select anything on most DVD's besides play. No special features, no language select, nothing, just play.","i cannot scroll through a dvd menu that is set up vertically the triangle keys will only select horizontally so i cannot select anything on most dvds besides play no special features no language select nothing just play",0,0,Neutral,227
2,"Unique Weird Orientalia from the 1930's","Exotic tales of the Orient from the 1930's. "Dr Shen Fu""","exotic tales of the orient from the s dr shen fu",0,0,Neutral,57
1,"Not an "ultimate guide"""","Firstly,I enjoyed the format and tone of the book (how the author addressed the reader). However, I did not feel that she imparted any insider secrets that the book promised to reveal. If you are just starting to research law school, and do not know all the requirements of admission, then this book may be a tremendous help. If you have done your homework and are looking for an edge when it comes to admissions, I recommend some more topic-specific books. For example, books on how to write your personal statment, books geared specifically towards LSAT preparation (Powerscore books were the most helpful for me), and there are some websites with great advice geared towards aiding the individuals whom you are asking to write letters of recommendation. Yet, for those new to the entire affair, this book can definitely clarify the requirements for you.","firstlyi enjoyed the format and tone of the book how the author addressed the reader however i did not feel that she imparted any insider secrets that the book promised to reveal if you are just starting to research law school and do not know all the requirements of admission then this book may be a tremendous help if you have done your homework and are looking for an edge when it comes to admissions i recommend some more topicspecific books for example books on how to write your personal statment books geared specifically towards lsat preparation powerscore books were the most helpful for me and there are some websites with great advice geared towards aiding the individuals whom you are asking to write letters of recommendation yet for those new to the entire affair this book can definitely clarify the requirements for you",4,0,Positive,856
2,"Great book for travelling Europe","I currently live in Europe, and this is the book I recommend for my visitors. It covers many countries, colour pictures, and is a nice starter for before you go, and once you are there.","i currently live in europe and this is the book i recommend for my visitors it covers many countries colour pictures and is a nice starter for before you go and once you are there",2,0,Positive,185
1,Not!,"If you want to listen to El Duke , then it is better if you have access to his shower,this is not him, it is a gimmick,very well orchestrated.","if you want to listen to el duke  then it is better if you have access to his showerthis is not him it is a gimmickvery well orchestrated",0,0,Neutral,142
1,"A complete Bust","This game requires quicktime 5.0 to work...if you have a better version of quicktime (I have 7.5), it will ask you to install the quicktime available on the CD...if you click no, it will not let you play. So, I begrudgingly clicked yes on the third try, and it installed quicktime 5, THEN it tells me to please install the quicktime available on the disc. It KEPT telling me that, even after I uninstalled my version of quicktime 7.5, and reinstalled Barbie Rapunzel and quicktime 5. Very frustrating, and the game absolutely will not work for me. It keeps telling me over and over, to install quicktime 5, tho I've been through the installation process repeatedly. It is NOT my "operating system limitations"". This is a brand new computer...merely weeks old with all the state of the art contraptions."","this game requires quicktime  to workif you have a better version of quicktime i have  it will ask you to install the quicktime available on the cdif you click no it will not let you play so i begrudgingly clicked yes on the third try and it installed quicktime  then it tells me to please install the quicktime available on the disc it kept telling me that even after i uninstalled my version of quicktime  and reinstalled barbie rapunzel and quicktime  very frustrating and the game absolutely will not work for me it keeps telling me over and over to install quicktime  tho ive been through the installation process repeatedly it is not my operating system limitations this is a brand new computermerely weeks old with all the state of the art contraptions",0,0,Neutral,804
2,"TRULY MADE A DIFFERENCE!","I have been using this product for a couple years now. I started using it because my hair had gotten so dry from all the chemical treatments and relaxers. This actualy came in the relaxer kit. I tried it and could not beleive the difference it made with one use. I could not find it in any of the stores at the time so I searched Amazon and they had it. I absolutely love it. It is the best moisturizing product I have used so far. My hair is soft with good elasticity and it is not breaking anywhere close to what it was. I am very happy with it.","i have been using this product for a couple years now i started using it because my hair had gotten so dry from all the chemical treatments and relaxers this actualy came in the relaxer kit i tried it and could not beleive the difference it made with one use i could not find it in any of the stores at the time so i searched amazon and they had it i absolutely love it it is the best moisturizing product i have used so far my hair is soft with good elasticity and it is not breaking anywhere close to what it was i am very happy with it",4,0,Positive,547
1,"didn't run off of USB bus power","Was hoping that this drive would run off of bus power, but it required the adapter to actually work. :( I sent it back.","was hoping that this drive would run off of bus power but it required the adapter to actually work  i sent it back",0,0,Neutral,119
